file_name,format,width_px,height_px,source_catalog,display_name,category,core_reuse,reuse_stage,notes
C-130j.png,PNG,801,1097,military,Lockheed Martin C-130J Super Hercules,mil-cargo-turboprop,no,special event only,Not part of core civilian progression
c-27j.png,PNG,719,1092,military,Leonardo C-27J Spartan,mil-cargo-turboprop,no,special event only,Not part of core civilian progression
c-17a.png,PNG,944,858,military,Boeing C-17A Globemaster III,mil-cargo-jet,no,special event only,Not part of core civilian progression
c-5m.png,PNG,1057,907,military,Lockheed Martin C-5M Super Galaxy,mil-cargo-jet,no,special event only,Not part of core civilian progression
A-10c.png,PNG,866,939,military,Fairchild Republic A-10C Thunderbolt II,mil-attack-jet,no,airshow only,Combat aircraft is outside core scope
f-15e.png,PNG,1151,760,military,McDonnell Douglas F-15E Strike Eagle,mil-fighter-jet,no,airshow only,Combat aircraft is outside core scope
f-16c.png,PNG,929,619,military,General Dynamics F-16C Fighting Falcon,mil-fighter-jet,no,airshow only,Combat aircraft is outside core scope
f-22a.png,PNG,1157,837,military,Lockheed Martin F-22A Raptor,mil-fighter-jet,no,airshow only,Combat aircraft is outside core scope
f-35a.png,PNG,1094,749,military,Lockheed Martin F-35A Lightning II,mil-fighter-jet,no,airshow only,Combat aircraft is outside core scope
fa-18e.png,PNG,1089,825,military,Boeing F/A-18E Super Hornet,mil-fighter-jet,no,airshow only,Combat aircraft is outside core scope
f-117a.png,PNG,1174,763,military,Lockheed F-117A Nighthawk,mil-attack-jet,no,airshow only,Combat aircraft is outside core scope
b-1b.png,PNG,971,869,military,Rockwell B-1B Lancer,mil-bomber-jet,no,airshow only,Combat aircraft is outside core scope
b-2.png,PNG,408,1000,military,Northrop Grumman B-2 Spirit,mil-bomber-jet,no,airshow only,Combat aircraft is outside core scope
b-52h.png,PNG,960,1088,military,Boeing B-52H Stratofortress,mil-bomber-jet,no,airshow only,Combat aircraft is outside core scope
An-124.png,PNG,816,839,uncatalogued,Antonov An-124,uncatalogued,no,rights and data review,Sprite exists but is not in the inspected catalogs
Il-76.png,PNG,930,1014,uncatalogued,Ilyushin Il-76,uncatalogued,no,rights and data review,Sprite exists but is not in the inspected catalogs
j-16c.png,PNG,737,557,uncatalogued,Shenyang J-16,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Mig-29.png,PNG,908,746,uncatalogued,Mikoyan MiG-29,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Su-27.png,PNG,1139,751,uncatalogued,Sukhoi Su-27,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Su-34.png,PNG,1152,723,uncatalogued,Sukhoi Su-34,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Su-57.png,PNG,731,550,uncatalogued,Sukhoi Su-57,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Tu-160.png,PNG,791,786,uncatalogued,Tupolev Tu-160,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
Tu-95.png,PNG,865,746,uncatalogued,Tupolev Tu-95,uncatalogued,no,airshow only,Sprite exists but is not in the inspected catalogs
